feature,random_forest,gradient_boosting
TSH,0.27313022504060835,0.2569767990534874
T3,0.20940352900911574,0.2809038150231897
FTI,0.16190579573396485,0.15728468864590425
TT4,0.15016392054133446,0.1823072006401889
T4U,0.08150039616451883,0.058256781584164995
age,0.027837170768227632,0.005385301557732334
T3_measured,0.011559554923913841,0.018842996098339285
on_thyroxine,0.007920191504552703,0.004768835036829953
referral_source_other,0.007910058322980926,0.005448626895708005
referral_source_SVI,0.007863489922472594,0.00014711794984581484
sex,0.007349196793969057,0.003119834327791074
referral_source_SVHC,0.006929288264981897,1.1728216084704937e-05
referral_source_STMW,0.005603570820942079,5.323883363723689e-05
TSH_measured,0.00543489159097006,0.002890702410962793
TT4_measured,0.004944513664241457,0.015527536839729484
FTI_measured,0.004616893699856771,0.0025366746771147697
query_hyperthyroid,0.004247517743933456,0.0012837565160193952
T4U_measured,0.00403153297678861,0.00045464263716999667
pregnant,0.003994559162751052,0.0004922598557452428
query_hypothyroid,0.0024687381718275906,3.6123216329278174e-05
psych,0.0021266686046434004,0.00147571319624516
sick,0.001523661006156898,8.560590939279435e-05
tumor,0.0014555228337860759,7.679765408720583e-05
thyroid_surgery,0.0014511576531928514,0.0014148219222449463
on_antithyroid_medication,0.0013309846693389943,0.00021840130205518835
query_on_thyroxine,0.001204186412615918,0.0
goitre,0.0007737921773742379,0.0
I131_treatment,0.0005733485316450543,0.0
lithium,0.00040013005728232277,0.0
referral_source_SVHD,0.0002595363987384721,0.0
hypopituitary,6.946677863003355e-05,0.0
referral_source_WEST,1.6510054643951063e-05,0.0
